st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
41,1984,Oregon,OR,1227,536,686,0.561374784,0.438625216,19453.18359,1.945318341
42,1984,Pennsylvania,PA,4845,2228,2584,0.536990881,0.463009149,20470.99414,2.047099352
44,1984,Rhode Island,RI,410,197,212,0.518337429,0.481662601,20696,2.069600105
45,1984,South Carolina,SC,969,344,616,0.641666651,0.358333319,16528.10938,1.652810931
46,1984,South Dakota,SD,318,116,200,0.632911384,0.367088616,17669.74805,1.766974807
47,1984,Tennessee,TN,1712,712,990,0.581668615,0.418331385,17388.86914,1.738886952
48,1984,Texas,TX,5398,1949,3433,0.637866974,0.362133026,20342.63672,2.034263611
49,1984,Utah,UT,630,155,469,0.75160259,0.24839744,17262.01953,1.726202011
50,1984,Vermont,VT,235,96,136,0.586206913,0.413793117,18181.67383,1.818167329
51,1984,Virginia,VA,2147,796,1337,0.62681669,0.37318331,21722.87305,2.172287226
53,1984,Washington,WA,1884,807,1052,0.565895617,0.434104353,21236.61914,2.123661995
54,1984,West Virginia,WV,736,328,405,0.552523851,0.447476119,15717.18164,1.571718216
55,1984,Wisconsin,WI,2212,996,1199,0.546241462,0.453758538,19918.29688,1.991829634
56,1984,Wyoming,WY,189,53,133,0.715053737,0.284946233,20501.19727,2.050119638
1,1988,Alabama,AL,1378,550,816,0.597364545,0.402635425,18167.50781,1.816750765
2,1988,Alaska,AK,200,73,119,0.619791687,0.380208343,26402.43555,2.64024353
4,1988,Arizona,AZ,1172,454,703,0.607605875,0.392394125,20725.91992,2.07259202
5,1988,Arkansas,AR,828,349,467,0.572303951,0.427696079,17110.45508,1.711045504
6,1988,California,CA,9887,4702,5055,0.518089592,0.481910437,25993.93945,2.599393845
8,1988,Colorado,CO,1372,621,728,0.539659023,0.460341007,22719.33203,2.271933317
9,1988,Connecticut,CT,1443,677,750,0.525578141,0.474421859,31544.45898,3.154445887
10,1988,Delaware,DE,250,109,140,0.562249005,0.437750995,25207.44922,2.520745039
12,1988,Florida,FL,4302,1657,2619,0.612488329,0.3875117,23045.59961,2.304559946
13,1988,Georgia,GA,1810,715,1081,0.601893067,0.398106903,20873.13672,2.087313652
15,1988,Hawaii,HI,354,192,159,0.452991456,0.547008574,24763.14258,2.476314306
16,1988,Idaho,ID,409,147,254,0.633416474,0.366583556,17895.61914,1.789561868
17,1988,Illinois,IL,4559,2216,2311,0.510492623,0.489507407,24686.21875,2.468621969
18,1988,Indiana,IN,2169,861,1298,0.601204276,0.398795724,20520.34375,2.052034378
19,1988,Iowa,IA,1226,671,545,0.448190778,0.551809192,20320.07422,2.032007456
20,1988,Kansas,KS,993,423,554,0.567041993,0.432958037,21585.35352,2.158535242
21,1988,Kentucky,KY,1323,580,734,0.55859971,0.44140029,17989.78516,1.798978567
22,1988,Louisiana,LA,1628,717,884,0.552154899,0.447845101,17289.50391,1.728950381
23,1988,Maine,ME,555,244,307,0.557168782,0.442831218,20836.00195,2.083600283
24,1988,Maryland,MD,1714,826,876,0.514688611,0.485311389,27297.68164,2.729768276
25,1988,Massachusetts,MA,2633,1401,1195,0.460323572,0.539676428,28304.33398,2.830433369
26,1988,Michigan,MI,3669,1676,1965,0.539686918,0.460313112,22584.05078,2.25840497
27,1988,Minnesota,MN,2097,1109,962,0.464509904,0.535490096,23224.64844,2.322464943
28,1988,Mississippi,MS,932,364,558,0.605206072,0.394793928,15333.22754,1.533322811
29,1988,Missouri,MO,2094,1002,1085,0.519885004,0.480114996,21228.58203,2.122858286
30,1988,Montana,MT,366,169,190,0.52924794,0.47075209,17634.33984,1.763433933
31,1988,Nebraska,NE,661,259,398,0.60578388,0.39421612,21179.50977,2.117950916
32,1988,Nevada,NV,350,133,206,0.607669592,0.392330378,24096.01953,2.409601927
33,1988,New Hampshire,NH,451,164,282,0.632286966,0.367713004,25946.19336,2.594619274
34,1988,New Jersey,NJ,3100,1320,1743,0.569049954,0.430950046,29162.44336,2.916244268
35,1988,New Mexico,NM,521,244,270,0.5252918,0.47470817,17634.33984,1.763433933
36,1988,New York,NY,6486,3348,3082,0.479315698,0.520684302,27556.30859,2.75563097
37,1988,North Carolina,NC,2134,890,1237,0.581570268,0.418429703,20422.19922,2.042219877
38,1988,North Dakota,ND,297,128,167,0.56610167,0.4338983,16884.98633,1.688498616
39,1988,Ohio,OH,4394,1940,2417,0.554739475,0.445260495,22061.49219,2.206149101
40,1988,Oklahoma,OK,1171,483,678,0.583979309,0.416020662,18854.52539,1.885452509
41,1988,Oregon,OR,1202,616,560,0.476190478,0.523809552,21020.35547,2.102035522
42,1988,Pennsylvania,PA,4536,2195,2300,0.511679649,0.488320351,22802.88867,2.280288935
44,1988,Rhode Island,RI,405,225,178,0.441687346,0.558312654,23932.88672,2.393288612
45,1988,South Carolina,SC,986,371,606,0.62026614,0.37973389,18467.24805,1.846724749
46,1988,South Dakota,SD,313,146,165,0.530546606,0.469453365,18192.70703,1.81927073
47,1988,Tennessee,TN,1636,680,947,0.582052886,0.417947143,19703.34961,1.970335007
48,1988,Texas,TX,5427,2353,3037,0.563450813,0.436549157,20325.37891,2.032537937
49,1988,Utah,UT,647,207,428,0.67401576,0.32598424,17496.40625,1.749640584
50,1988,Vermont,VT,243,116,124,0.516666651,0.483333319,21210.01563,2.121001482
51,1988,Virginia,VA,2192,860,1309,0.603503942,0.396496087,24554.91602,2.455491543
53,1988,Washington,WA,1865,934,904,0.491838962,0.508161068,22767.07813,2.276707888
54,1988,West Virginia,WV,653,341,310,0.476190478,0.523809552,16610.44336,1.661044359
55,1988,Wisconsin,WI,2192,1127,1047,0.481600732,0.518399239,21296.22266,2.129622221
56,1988,Wyoming,WY,177,67,107,0.614942551,0.385057479,19785.58008,1.978558064
1,1992,Alabama,AL,1688,690,804,0.538152635,0.461847395,19377.09375,1.937709332
2,1992,Alaska,AK,259,78,102,0.566666663,0.433333337,26600.30859,2.660030842
4,1992,Arizona,AZ,1487,543,572,0.513004482,0.486995518,19880.33594,1.988033652
5,1992,Arkansas,AR,951,506,337,0.39976275,0.60023725,18126.81445,1.812681437
6,1992,California,CA,11132,5121,3631,0.41487661,0.58512342,25153.20508,2.515320539
8,1992,Colorado,CO,1569,630,563,0.471919537,0.528080463,23606.57227,2.360657215
